"id","pobre"
"2a7ddc2779480d7f19834953",0
"a0c2e751e582fd49d564f308",0
"57273d19e8464a5ff66a582b",0
"418d052ff7878940ab938601",0
"212a37fc17016a3c78f76852",0
"7b0b8c4814944383d6c8cef1",0
"5e02916a18573d43c00da7c7",0
"927ccc0298577d7009ef94ea",0
"428494ae91e022e32c269115",0
"04fa7ce13bbccb6caab02df6",0
"5e68f7f98336d27342f13b90",0
"7ac94229c8432f1fdf43012c",0
"b8f0e2a9866ee8bcf1164a79",0
"5b020a2cc6b9080ac1c6d10b",1
"3ea2ac2cf5c8a92b0b915331",0
"2760c3070efab05dcdbe9914",1
"6b9c806975b31e19139083c0",0
"25bf005d169cc3cf0f246f9c",0
"13f9eaa5b15a5155fa987e97",0
"f53407b74d13315629bb6ad5",0
"78890577ce971df864113f35",0
"803a210a08f482ba5963565f",0
"63e557070ebb13323a38b0c1",0
"feb3f32a42bf83769157861a",0
"a8a5b0dcdabec7d61989d1b3",0
"7c16ed721899d8a2b3bcc2cb",0
"27f5e6bec3c4eb9f457f5178",0
"048fb82681895ec768492f27",0
"2c6bcece354b34a20cc3f06f",0
"b96cbb86b943964b00c61a19",0
"17264a9a5ceb0b7f0f395142",0
"956e0852201b220b8319fcb2",0
"2030996e539107595e674c5e",0
"1ac50b3cba34482ba00bba0b",0
"f1d763ecc3f1776f129d4beb",0
"d277eccc3e85af0cf465e7c4",0
"f2932b886ea5d3c1535d2f8b",0
"add9d6ee5eb5f4b448662e54",0
"c677f8bab4ab081eda363899",0
"9e935133c7bf4ff8e17ad98f",0
"dc9a87e50512c269f4f9e94e",0
"dc2dead6f0be86c18b1fb04a",0
"b35dce27e2705a96b7ef9cad",1
"5cf3a321f6b525b4ff0cea79",1
"19194feecdcd7c0465965d0d",1
"1a83e213d66aff333968e62f",0
"39e50eaa8c1d7c789c4febca",0
"f2f13e92fe9a375c224e3f32",0
"e0222bd2a41b08cf133ab6c4",0
"f365483f2a6b0e847d9ee785",0
"a4c7a175e47427e1e698672b",0
"41c121f4e9bd1572bc1b6ae1",1
"b3ece5a2daf89f68e37adbb2",0
"b5803a166bb48019c0c04e06",0
"bb540f58410baab7c5c67b6a",0
"93a32956b1ef8f8d3e1b67bb",0
"9f6c364896005cc3c0467553",0
"75d8ad102e46d4ea8b907232",0
"932a9976d6e38a0a4e35dafb",0
"c9d4fb7ca9775d4eebfc1a3a",0
"376d660726cda45e25ee53fe",0
"e57f23821bddb7ff8becf026",0
"6ae5636fb56295e23dc8c404",0
"54b00eb095e1eb3adcb709f5",0
"afa2337ffdb22d3d174fbd04",0
"d1820c2d559278a4c70a516c",0
"978e94ad5d35e83517ae6726",0
"0ae802ffab2e44930d0fa742",0
"155891f45d6f07b638c860cb",0
"8c20e6eb04a1cb1ebf22059c",0
"d42c9bff120bcd2686a8dda4",1
"b53fea949c29164c044e1722",0
"f0cfdbe3186d348477b2796e",0
"e85d1fe79d59e64de05b1614",0
"c2aab7c74acc9e48ad03d328",0
"ea94a70a5a84e67a5f852ee4",0
"3bf3862eb081e49d33f731ee",1
"ed540c9da5a50b9ae53f4cef",0
"5226c45d14119629217501c2",0
"d8024835b6eceb4593a96ed9",0
"8deeeea2f723529a62dc83f2",0
"7a90e9cf2ac6145d3df6e153",0
"9213285533d262f2026564b2",0
"f608a0f6617aa51264d0e1a3",0
"c8d93c26c8639cbba2db777a",0
"619048102600ad6b41f23c65",0
